TradeRecord [buyerId=1, sellerId=142, timestamp=2021-05-18T01:29:01.180701700, product=Item [price=2, delivery=1]]
TradeRecord [buyerId=2, sellerId=76, timestamp=2021-05-18T01:29:01.181701, product=Item [price=5, delivery=7]]
TradeRecord [buyerId=3, sellerId=54, timestamp=2021-05-18T01:29:01.181701, product=Item [price=9, delivery=8]]
TradeRecord [buyerId=4, sellerId=109, timestamp=2021-05-18T01:29:01.181701, product=Item [price=6, delivery=2]]
TradeRecord [buyerId=5, sellerId=59, timestamp=2021-05-18T01:29:01.181701, product=Item [price=1, delivery=1]]
TradeRecord [buyerId=6, sellerId=92, timestamp=2021-05-18T01:29:01.181701, product=Item [price=3, delivery=1]]
TradeRecord [buyerId=7, sellerId=62, timestamp=2021-05-18T01:29:01.182199500, product=Item [price=6, delivery=4]]
TradeRecord [buyerId=8, sellerId=3, timestamp=2021-05-18T01:29:01.182199500, product=Item [price=9, delivery=4]]
TradeRecord [buyerId=9, sellerId=76, timestamp=2021-05-18T01:29:01.182199500, product=Item [price=9, delivery=4]]
TradeRecord [buyerId=10, sellerId=27, timestamp=2021-05-18T01:29:01.182199500, product=Item [price=4, delivery=9]]
TradeRecord [buyerId=11, sellerId=86, timestamp=2021-05-18T01:29:01.182199500, product=Item [price=3, delivery=8]]
TradeRecord [buyerId=12, sellerId=98, timestamp=2021-05-18T01:29:01.182698600, product=Item [price=6, delivery=5]]
TradeRecord [buyerId=13, sellerId=12, timestamp=2021-05-18T01:29:01.182698600, product=Item [price=1, delivery=4]]
TradeRecord [buyerId=14, sellerId=123, timestamp=2021-05-18T01:29:01.182698600, product=Item [price=6, delivery=5]]
TradeRecord [buyerId=15, sellerId=143, timestamp=2021-05-18T01:29:01.182698600, product=Item [price=9, delivery=10]]
TradeRecord [buyerId=16, sellerId=117, timestamp=2021-05-18T01:29:01.182698600, product=Item [price=2, delivery=6]]
TradeRecord [buyerId=17, sellerId=98, timestamp=2021-05-18T01:29:01.183197700, product=Item [price=6, delivery=5]]
TradeRecord [buyerId=18, sellerId=117, timestamp=2021-05-18T01:29:01.183197700, product=Item [price=6, delivery=5]]
TradeRecord [buyerId=19, sellerId=8, timestamp=2021-05-18T01:29:01.183197700, product=Item [price=4, delivery=1]]
TradeRecord [buyerId=20, sellerId=112, timestamp=2021-05-18T01:29:01.183197700, product=Item [price=10, delivery=3]]
TradeRecord [buyerId=21, sellerId=50, timestamp=2021-05-18T01:29:01.183698100, product=Item [price=4, delivery=2]]
TradeRecord [buyerId=22, sellerId=58, timestamp=2021-05-18T01:29:01.183698100, product=Item [price=2, delivery=8]]
TradeRecord [buyerId=23, sellerId=64, timestamp=2021-05-18T01:29:01.183698100, product=Item [price=2, delivery=1]]
TradeRecord [buyerId=24, sellerId=121, timestamp=2021-05-18T01:29:01.183698100, product=Item [price=3, delivery=5]]
TradeRecord [buyerId=25, sellerId=146, timestamp=2021-05-18T01:29:01.183698100, product=Item [price=3, delivery=3]]
TradeRecord [buyerId=26, sellerId=15, timestamp=2021-05-18T01:29:01.183698100, product=Item [price=1, delivery=1]]
TradeRecord [buyerId=27, sellerId=57, timestamp=2021-05-18T01:29:01.184196300, product=Item [price=1, delivery=10]]
TradeRecord [buyerId=28, sellerId=136, timestamp=2021-05-18T01:29:01.184196300, product=Item [price=4, delivery=9]]
TradeRecord [buyerId=29, sellerId=106, timestamp=2021-05-18T01:29:01.184196300, product=Item [price=3, delivery=8]]
TradeRecord [buyerId=30, sellerId=130, timestamp=2021-05-18T01:29:01.184695400, product=Item [price=1, delivery=9]]
TradeRecord [buyerId=31, sellerId=20, timestamp=2021-05-18T01:29:01.184695400, product=Item [price=3, delivery=6]]
TradeRecord [buyerId=32, sellerId=20, timestamp=2021-05-18T01:29:01.184695400, product=Item [price=5, delivery=3]]
TradeRecord [buyerId=33, sellerId=17, timestamp=2021-05-18T01:29:01.184695400, product=Item [price=5, delivery=10]]
TradeRecord [buyerId=34, sellerId=136, timestamp=2021-05-18T01:29:01.184695400, product=Item [price=3, delivery=5]]
TradeRecord [buyerId=35, sellerId=23, timestamp=2021-05-18T01:29:01.184695400, product=Item [price=1, delivery=5]]
TradeRecord [buyerId=36, sellerId=73, timestamp=2021-05-18T01:29:01.185193900, product=Item [price=1, delivery=4]]
TradeRecord [buyerId=37, sellerId=66, timestamp=2021-05-18T01:29:01.185193900, product=Item [price=8, delivery=10]]
TradeRecord [buyerId=38, sellerId=150, timestamp=2021-05-18T01:29:01.185193900, product=Item [price=6, delivery=5]]
TradeRecord [buyerId=39, sellerId=119, timestamp=2021-05-18T01:29:01.185193900, product=Item [price=3, delivery=1]]
TradeRecord [buyerId=40, sellerId=79, timestamp=2021-05-18T01:29:01.185193900, product=Item [price=8, delivery=2]]
TradeRecord [buyerId=41, sellerId=47, timestamp=2021-05-18T01:29:01.185193900, product=Item [price=5, delivery=9]]
TradeRecord [buyerId=42, sellerId=26, timestamp=2021-05-18T01:29:01.185692600, product=Item [price=8, delivery=10]]
TradeRecord [buyerId=43, sellerId=46, timestamp=2021-05-18T01:29:01.185692600, product=Item [price=8, delivery=7]]
TradeRecord [buyerId=44, sellerId=39, timestamp=2021-05-18T01:29:01.185692600, product=Item [price=8, delivery=8]]
TradeRecord [buyerId=45, sellerId=92, timestamp=2021-05-18T01:29:01.185692600, product=Item [price=10, delivery=8]]
TradeRecord [buyerId=46, sellerId=60, timestamp=2021-05-18T01:29:01.185692600, product=Item [price=6, delivery=8]]
TradeRecord [buyerId=47, sellerId=84, timestamp=2021-05-18T01:29:01.185692600, product=Item [price=2, delivery=5]]
TradeRecord [buyerId=48, sellerId=118, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=3, delivery=9]]
TradeRecord [buyerId=49, sellerId=68, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=3, delivery=8]]
TradeRecord [buyerId=50, sellerId=35, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=9, delivery=7]]
TradeRecord [buyerId=51, sellerId=76, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=5, delivery=8]]
TradeRecord [buyerId=52, sellerId=144, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=8, delivery=9]]
TradeRecord [buyerId=53, sellerId=14, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=8, delivery=5]]
TradeRecord [buyerId=54, sellerId=58, timestamp=2021-05-18T01:29:01.186192600, product=Item [price=9, delivery=2]]
TradeRecord [buyerId=55, sellerId=75, timestamp=2021-05-18T01:29:01.186690300, product=Item [price=10, delivery=1]]
TradeRecord [buyerId=56, sellerId=51, timestamp=2021-05-18T01:29:01.186690300, product=Item [price=2, delivery=6]]
TradeRecord [buyerId=57, sellerId=59, timestamp=2021-05-18T01:29:01.186690300, product=Item [price=1, delivery=3]]
TradeRecord [buyerId=58, sellerId=138, timestamp=2021-05-18T01:29:01.186690300, product=Item [price=5, delivery=7]]
TradeRecord [buyerId=59, sellerId=149, timestamp=2021-05-18T01:29:01.186690300, product=Item [price=7, delivery=6]]
TradeRecord [buyerId=60, sellerId=4, timestamp=2021-05-18T01:29:01.186690300, product=Item [price=8, delivery=10]]
TradeRecord [buyerId=61, sellerId=119, timestamp=2021-05-18T01:29:01.187189400, product=Item [price=2, delivery=6]]
TradeRecord [buyerId=62, sellerId=73, timestamp=2021-05-18T01:29:01.187189400, product=Item [price=4, delivery=6]]
TradeRecord [buyerId=63, sellerId=121, timestamp=2021-05-18T01:29:01.187189400, product=Item [price=1, delivery=8]]
TradeRecord [buyerId=64, sellerId=115, timestamp=2021-05-18T01:29:01.187189400, product=Item [price=2, delivery=5]]
TradeRecord [buyerId=65, sellerId=84, timestamp=2021-05-18T01:29:01.187189400, product=Item [price=4, delivery=3]]
TradeRecord [buyerId=66, sellerId=111, timestamp=2021-05-18T01:29:01.187189400, product=Item [price=10, delivery=2]]
TradeRecord [buyerId=67, sellerId=85, timestamp=2021-05-18T01:29:01.187688500, product=Item [price=6, delivery=4]]
